Numero,Pregunta,Categoria,Dominio,Dimension
1,El espacio donde trabajo me permite realizar mis actividades de manera segura e higiénica,Ambiente de trabajo,Condiciones en el ambiente de trabajo,Condiciones peligrosas e inseguras
2,Mi trabajo me exige hacer mucho esfuerzo físico,Ambiente de trabajo,Condiciones en el ambiente de trabajo,Condiciones deficientes e insalubres
3,Me preocupa sufrir un accidente en mi trabajo,Ambiente de trabajo,Condiciones en el ambiente de trabajo,Condiciones peligrosas e inseguras
4,Considero que en mi trabajo se aplican las normas de seguridad y salud en el trabajo,Ambiente de trabajo,Condiciones en el ambiente de trabajo,Condiciones deficientes e insalubres
5,Considero que las actividades que realizo son peligrosas,Ambiente de trabajo,Condiciones en el ambiente de trabajo,Trabajos peligrosos
6,Por la cantidad de trabajo que tengo debo quedarme tiempo adicional a mi turno,Factores propios de la actividad,Carga de trabajo,Cargas cuantitativas
7,Por la cantidad de trabajo que tengo debo trabajar sin parar,Factores propios de la actividad,Carga de trabajo,Ritmos de trabajo acelerado
8,Considero que es necesario mantener un ritmo de trabajo acelerado,Factores propios de la actividad,Carga de trabajo,Ritmos de trabajo acelerado
9,Mi trabajo exige que esté muy concentrado,Factores propios de la actividad,Carga de trabajo,Carga mental
10,Mi trabajo requiere que memorice mucha información,Factores propios de la actividad,Carga de trabajo,Carga mental
11,En mi trabajo tengo que tomar decisiones difíciles muy rápido,Factores propios de la actividad,Carga de trabajo,Carga mental
12,Mi trabajo exige que atienda varios asuntos al mismo tiempo,Factores propios de la actividad,Carga de trabajo,Cargas cuantitativas
13,En mi trabajo soy responsable de cosas de mucho valor,Factores propios de la actividad,Carga de trabajo,Cargas de alta responsabilidad
14,Respondo ante mi jefe por los resultados de toda mi área de trabajo,Factores propios de la actividad,Carga de trabajo,Cargas de alta responsabilidad
15,En el trabajo me dan órdenes contradictorias,Factores propios de la actividad,Carga de trabajo,Cargas contradictorias o inconsistentes
16,Considero que en mi trabajo me piden hacer cosas innecesarias,Factores propios de la actividad,Carga de trabajo,Cargas contradictorias o inconsistentes
17,Trabajo horas extras más de tres veces a la semana,Organización del tiempo de trabajo,Jornada de trabajo,Jornadas de trabajo extensas
18,"Mi trabajo me exige laborar en días de descanso, festivos o fines de semana",Organización del tiempo de trabajo,Jornada de trabajo,Jornadas de trabajo extensas
19,Considero que el tiempo en el trabajo es mucho y perjudica mis actividades familiares o personales,Organización del tiempo de trabajo,Interferencia en la relación trabajo-familia,Influencia del trabajo fuera del centro laboral
20,Debo atender asuntos de trabajo cuando estoy en casa,Organización del tiempo de trabajo,Interferencia en la relación trabajo-familia,Influencia del trabajo fuera del centro laboral
21,Pienso en las actividades familiares o personales cuando estoy en mi trabajo,Organización del tiempo de trabajo,Interferencia en la relación trabajo-familia,Influencia de las responsabilidades familiares
22,Pienso que mis responsabilidades familiares afectan mi trabajo,Organización del tiempo de trabajo,Interferencia en la relación trabajo-familia,Influencia de las responsabilidades familiares
23,Mi trabajo permite que desarrolle nuevas habilidades,Factores propios de la actividad,Falta de control sobre el trabajo,Limitada o nula posibilidad de desarrollo
24,En mi trabajo puedo aspirar a un mejor puesto,Factores propios de la actividad,Falta de control sobre el trabajo,Limitada o nula posibilidad de desarrollo
25,Durante mi jornada de trabajo puedo tomar pausas cuando las necesito,Factores propios de la actividad,Falta de control sobre el trabajo,Falta de control y autonomía sobre el trabajo
26,Puedo decidir cuánto trabajo realizo durante la jornada laboral,Factores propios de la actividad,Falta de control sobre el trabajo,Falta de control y autonomía sobre el trabajo
27,Puedo decidir la velocidad a la que realizo mis actividades en mi trabajo,Factores propios de la actividad,Falta de control sobre el trabajo,Falta de control y autonomía sobre el trabajo
28,Puedo cambiar el orden de las actividades que realizo en mi trabajo,Factores propios de la actividad,Falta de control sobre el trabajo,Falta de control y autonomía sobre el trabajo
29,Los cambios que se presentan en mi trabajo dificultan mi labor,Factores propios de la actividad,Falta de control sobre el trabajo,Insuficiente participación y manejo del cambio
30,Cuando se presentan cambios en mi trabajo se tienen en cuenta mis ideas o aportaciones,Factores propios de la actividad,Falta de control sobre el trabajo,Insuficiente participación y manejo del cambio
31,Me informan con claridad cuáles son mis funciones,Liderazgo y relaciones en el trabajo,Liderazgo,Escaza claridad de funciones
32,Me explican claramente los resultados que debo obtener en mi trabajo,Liderazgo y relaciones en el trabajo,Liderazgo,Escaza claridad de funciones
33,Me explican claramente los objetivos de mi trabajo,Liderazgo y relaciones en el trabajo,Liderazgo,Escaza claridad de funciones
34,Me informan con quién puedo resolver problemas o asuntos de trabajo,Liderazgo y relaciones en el trabajo,Liderazgo,Escaza claridad de funciones
35,Me permiten asistir a capacitaciones relacionadas con mi trabajo,Factores propios de la actividad,Falta de control sobre el trabajo,Limitada o inexistente capacitación
36,Recibo capacitación útil para hacer mi trabajo,Factores propios de la actividad,Falta de control sobre el trabajo,Limitada o inexistente capacitación
37,Mi jefe ayuda a organizar mejor el trabajo,Liderazgo y relaciones en el trabajo,Liderazgo,Características del liderazgo
38,Mi jefe tiene en cuenta mis puntos de vista y opiniones,Liderazgo y relaciones en el trabajo,Liderazgo,Características del liderazgo
39,Mi jefe me comunica a tiempo la información relacionada con el trabajo,Liderazgo y relaciones en el trabajo,Liderazgo,Características del liderazgo
40,La orientación que me da mi jefe me ayuda a realizar mejor mi trabajo,Liderazgo y relaciones en el trabajo,Liderazgo,Características del liderazgo
41,Mi jefe ayuda a solucionar los problemas que se presentan en el trabajo,Liderazgo y relaciones en el trabajo,Liderazgo,Características del liderazgo
42,Puedo confiar en mis compañeros de trabajo,Liderazgo y relaciones en el trabajo,Relaciones en el trabajo,Relaciones sociales en el trabajo
43,Entre compañeros solucionamos los problemas de trabajo de forma respetuosa,Liderazgo y relaciones en el trabajo,Relaciones en el trabajo,Relaciones sociales en el trabajo
44,En mi trabajo me hacen sentir parte del grupo,Liderazgo y relaciones en el trabajo,Relaciones en el trabajo,Relaciones sociales en el trabajo
45,Cuando tenemos que realizar trabajo de equipo los compañeros colaboran,Liderazgo y relaciones en el trabajo,Relaciones en el trabajo,Relaciones sociales en el trabajo
46,Mis compañeros de trabajo me ayudan cuando tengo dificultades,Liderazgo y relaciones en el trabajo,Relaciones en el trabajo,Relaciones sociales en el trabajo
47,Me informan sobre lo que hago bien en mi trabajo,Entorno organizacional,Reconocimiento del desempeño,Escasa o nula retroalimentación del desempeño
48,La forma como evalúan mi trabajo en mi centro de trabajo me ayuda a mejorar mi desempeño,Entorno organizacional,Reconocimiento del desempeño,Escasa o nula retroalimentación del desempeño
49,En mi centro de trabajo me pagan a tiempo mi salario,Entorno organizacional,Reconocimiento del desempeño,Escaso o nulo reconocimiento y compensación
50,El pago que recibo es el que merezco por el trabajo que realizo,Entorno organizacional,Reconocimiento del desempeño,Escaso o nulo reconocimiento y compensación
51,Si obtengo los resultados esperados en mi trabajo me recompensan o reconocen,Entorno organizacional,Reconocimiento del desempeño,Escaso o nulo reconocimiento y compensación
52,Las personas que hacen bien el trabajo pueden crecer laboralmente,Entorno organizacional,Reconocimiento del desempeño,Escaso o nulo reconocimiento y compensación
53,Considero que mi trabajo es estable,Entorno organizacional,"Insuficiente sentido de pertenencia e, inestabilidad",Inestabilidad laboral
54,En mi trabajo existe continua rotación de personal,Entorno organizacional,"Insuficiente sentido de pertenencia e, inestabilidad",Inestabilidad laboral
55,Siento orgullo de laborar en este centro de trabajo,Entorno organizacional,"Insuficiente sentido de pertenencia e, inestabilidad",Limitado sentido de pertenencia
56,Me siento comprometido con mi trabajo,Entorno organizacional,"Insuficiente sentido de pertenencia e, inestabilidad",Limitado sentido de pertenencia
57,En mi trabajo puedo expresarme libremente sin interrupciones,Liderazgo y relaciones en el trabajo,Violencia,Violencia laboral
58,Recibo críticas constantes a mi persona y/o trabajo,Liderazgo y relaciones en el trabajo,Violencia,Violencia laboral
59,"Recibo burlas, calumnias, difamaciones, humillaciones o ridiculizaciones",Liderazgo y relaciones en el trabajo,Violencia,Violencia laboral
60,Se ignora mi presencia o se me excluye de las reuniones de trabajo y en la toma de decisiones,Liderazgo y relaciones en el trabajo,Violencia,Violencia laboral
61,Se manipulan las situaciones de trabajo para hacerme parecer un mal trabajador,Liderazgo y relaciones en el trabajo,Violencia,Violencia laboral
62,Se ignoran mis éxitos laborales y se atribuyen a otros trabajadores,Liderazgo y relaciones en el trabajo,Violencia,Violencia laboral
63,Me bloquean o impiden las oportunidades que tengo para obtener ascenso o mejora en mi trabajo,Liderazgo y relaciones en el trabajo,Violencia,Violencia laboral
64,He presenciado actos de violencia en mi centro de trabajo,Liderazgo y relaciones en el trabajo,Violencia,Violencia laboral
65,Atiendo clientes o usuarios muy enojados,Factores propios de la actividad,Carga de trabajo,Cargas psicológicas emocionales
66,Mi trabajo me exige atender personas muy necesitadas de ayuda o enfermas,Factores propios de la actividad,Carga de trabajo,Cargas psicológicas emocionales
67,Para hacer mi trabajo debo demostrar sentimientos distintos a los míos,Factores propios de la actividad,Carga de trabajo,Cargas psicológicas emocionales
68,Mi trabajo me exige atender situaciones de violencia,Factores propios de la actividad,Carga de trabajo,Cargas psicológicas emocionales
